"filename", "language", "TypeScript", "Svelte", "XML", "Python", "JSON", "CSV", "PostCSS", "comment", "blank", "total"
"/Users/charlottecox/Development/dissertation/draft2/src/lib/evaluation/Ending_Questionnaire.csv", "CSV", 0, 0, 0, 0, 0, 28, 0, 0, 1, 29
"/Users/charlottecox/Development/dissertation/draft2/src/lib/evaluation/Starter_questionnaire.csv", "CSV", 0, 0, 0, 0, 0, 37, 0, 0, 1, 38
"/Users/charlottecox/Development/dissertation/draft2/src/lib/evaluation/analysis.py", "Python", 0, 0, 0, 163, 0, 0, 0, 1, 30, 194
"/Users/charlottecox/Development/dissertation/draft2/src/lib/evaluation/comparitive_responses.csv", "CSV", 0, 0, 0, 0, 0, 27, 0, 0, 0, 27
"/Users/charlottecox/Development/dissertation/draft2/src/lib/evaluation/interaction_log_rows_2.csv", "CSV", 0, 0, 0, 0, 0, 13085, 0, 0, 0, 13085
"/Users/charlottecox/Development/dissertation/draft2/src/lib/evaluation/students_rows_1.csv", "CSV", 0, 0, 0, 0, 0, 51, 0, 0, 0, 51
"/Users/charlottecox/Development/dissertation/draft2/src/lib/graph/graphBehaviours.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 46, 21, 169
"/Users/charlottecox/Development/dissertation/draft2/src/lib/graph/graphDefaults.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/charlottecox/Development/dissertation/draft2/src/lib/graph/graphTypes.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 12, 8, 99
"/Users/charlottecox/Development/dissertation/draft2/src/lib/graph/nodeColours.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 5, 36
"/Users/charlottecox/Development/dissertation/draft2/src/lib/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/charlottecox/Development/dissertation/draft2/src/lib/styles/theme.css", "PostCSS", 0, 0, 0, 0, 0, 0, 279, 0, 26, 305
"/Users/charlottecox/Development/dissertation/draft2/src/lib/supabase/auth.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 1, 5, 33
"/Users/charlottecox/Development/dissertation/draft2/src/lib/supabase/logging.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 4, 55
"/Users/charlottecox/Development/dissertation/draft2/src/lib/supabase/supabase.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"Total", "-", 5736, 6621, 16141, 889, 265896, 19668, 279, 420, 2033, 317683
