"filename", "language", "JavaScript", "Svelte", "HTML", "XML", "JSON", "Python", "TypeScript", "CSV", "PostCSS", "comment", "blank", "total"
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull2_n7000.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull2_n7500.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull2_n800.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull2_n8000.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull2_n8500.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull2_n900.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull2_n9000.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull2_n9500.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull_n10.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull_n100.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull_n1000.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull_n10000.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull_n10500.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull_n11000.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull_n11500.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull_n1200.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull_n1400.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull_n1600.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull_n1800.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull_n2000.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull_n2250.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull_n2500.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull_n3000.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull_n3500.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull_n4000.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull_n4500.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/charlottecox/Development/dissertation/draft2/src/lib/components/benchmarking/results/MC3linear/MC_benchfull_n500.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
